Source,Target,weight,label
-7784712059813151204,-3304550021239131016,4039,4039
-7784712059813151204,-2733769994685039948,591,591
-7784712059813151204,-2406154927270380003,5685,5685
-7784712059813151204,-2159223491519827085,663,663
-7784712059813151204,-1423000256242238038,1571,1571
-7784712059813151204,603774118492778883,3234,3234
-7784712059813151204,1108832248229541119,1879,1879
-7784712059813151204,1695560610886202841,645,645
-7784712059813151204,1768082660194401914,843,843
-7784712059813151204,1960646417337105237,3572,3572
-7784712059813151204,3946370886449903125,567,567
-7784712059813151204,5371115335115552567,571,571
-7784712059813151204,7341486337184709423,2086,2086
-7675450448203336984,-3268067683072787167,789,789
-7675450448203336984,2589265509983531627,1117,1117
-6861850936062169047,-6026813875032476846,591,591
-6861850936062169047,2695305337569098618,612,612
-6806691435797463535,-273033171021384035,1710,1710
-6294258839182494498,2589265509983531627,511,511
-6026813875032476846,-5904698658142210447,1061,1061
-6026813875032476846,-4129215337742647371,530,530
-6026813875032476846,-4060513158963513109,2724,2724
-6026813875032476846,-1092374183810287215,2482,2482
-6026813875032476846,-464204487869910793,536,536
-6026813875032476846,603774118492778883,1384,1384
-6026813875032476846,7341486337184709423,783,783
-5904698658142210447,-2159857214311285554,1251,1251
-5904698658142210447,-273033171021384035,629,629
-5264754114606649098,-2159857214311285554,1404,1404
-5264754114606649098,-273033171021384035,573,573
-5264754114606649098,2695305337569098618,994,994
-4999257352771650151,-273033171021384035,1261,1261
-4999257352771650151,2695305337569098618,1973,1973
-4995287720068695020,2589265509983531627,755,755
-4876003296321717233,-2406154927270380003,1925,1925
-4876003296321717233,-273033171021384035,1468,1468
-4674365320703232734,2589265509983531627,565,565
-4666453782075787270,2695305337569098618,2635,2635
-4129215337742647371,-2159857214311285554,995,995
-4060513158963513109,-273033171021384035,11992,11992
-4050477985649184306,2695305337569098618,1352,1352
-3869629224220610070,-3268067683072787167,557,557
-3869629224220610070,-2406154927270380003,3058,3058
-3869629224220610070,2695305337569098618,2774,2774
-3810326145888079572,-2159857214311285554,948,948
-3810326145888079572,-273033171021384035,842,842
-3810326145888079572,2695305337569098618,1415,1415
-3304550021239131016,-3268067683072787167,1320,1320
-3268067683072787167,-2179786877876424548,1215,1215
-3268067683072787167,-1521781524640025379,1269,1269
-3268067683072787167,-273033171021384035,1873,1873
-3268067683072787167,2695305337569098618,4180,4180
-3268067683072787167,2768059539183056150,890,890
-3268067683072787167,3645692567939266464,1759,1759
-3268067683072787167,5669528293118392224,543,543
-3268067683072787167,7057794358978688335,738,738
-3268067683072787167,8584721346566371541,1769,1769
-2479076574622892161,-2406154927270380003,1540,1540
-2479076574622892161,2695305337569098618,1211,1211
-2406154927270380003,-2179786877876424548,4167,4167
-2406154927270380003,-2159857214311285554,3264,3264
-2406154927270380003,-1423000256242238038,1084,1084
-2406154927270380003,871557107850427658,1904,1904
-2406154927270380003,2273687203114921985,723,723
-2406154927270380003,2707166451744194534,760,760
-2406154927270380003,3039183585666478258,2791,2791
-2406154927270380003,4064891571011074380,1952,1952
-2406154927270380003,5074974895441262076,2680,2680
-2406154927270380003,5647053732965528546,898,898
-2406154927270380003,6037207175837857529,715,715
-2406154927270380003,7057794358978688335,502,502
-2406154927270380003,7341486337184709423,8028,8028
-2337037304635902232,-2159857214311285554,525,525
-2159857214311285554,-1092374183810287215,1970,1970
-2159857214311285554,-560123512857411715,892,892
-2159857214311285554,-464204487869910793,703,703
-2159857214311285554,1768082660194401914,512,512
-2159857214311285554,2589265509983531627,6259,6259
-2159857214311285554,2695305337569098618,4763,4763
-2159857214311285554,2811838510934669772,1390,1390
-2159857214311285554,3039183585666478258,3069,3069
-2159857214311285554,5074974895441262076,534,534
-2159857214311285554,5371115335115552567,606,606
-2159857214311285554,6405593197437662758,512,512
-2159857214311285554,7057794358978688335,905,905
-2159857214311285554,7519427517373691798,2416,2416
-2158435871750802565,2589265509983531627,1508,1508
-2158435871750802565,2695305337569098618,1047,1047
-1092374183810287215,-273033171021384035,1221,1221
-273033171021384035,2695305337569098618,8306,8306
-273033171021384035,2768059539183056150,2620,2620
-273033171021384035,2811838510934669772,4556,4556
-273033171021384035,3039183585666478258,1861,1861
-273033171021384035,3946370886449903125,630,630
-273033171021384035,4064891571011074380,1684,1684
-273033171021384035,8584721346566371541,1303,1303
411522172308304650,2589265509983531627,1207,1207
411522172308304650,2695305337569098618,532,532
603774118492778883,2695305337569098618,1208,1208
865030606091400331,2695305337569098618,514,514
1108832248229541119,2695305337569098618,2335,2335
1960646417337105237,2589265509983531627,771,771
2087922859966410869,2695305337569098618,1705,1705
2589265509983531627,2707166451744194534,4595,4595
2589265509983531627,2768059539183056150,644,644
2589265509983531627,3142100258669736279,921,921
2589265509983531627,3574787208394128407,654,654
2589265509983531627,3946370886449903125,562,562
2589265509983531627,7519427517373691798,1650,1650
2695305337569098618,2768059539183056150,3536,3536
2695305337569098618,3039183585666478258,3449,3449
2695305337569098618,3946370886449903125,969,969
2695305337569098618,4064891571011074380,1601,1601
2695305337569098618,4357639940090376395,627,627
2695305337569098618,5647053732965528546,664,664
2695305337569098618,6037207175837857529,680,680
2695305337569098618,7519427517373691798,1695,1695
2695305337569098618,7744895437826374207,518,518
2695305337569098618,7847537258258185880,537,537
-9189283624875180872,-8745505558082406655,1572,1572
-9189283624875180872,-8476437303145384835,959,959
-9189283624875180872,-8102260625013720780,548,548
-9189283624875180872,-7702246673281502833,1037,1037
-9189283624875180872,-2159857214311285554,2200,2200
-9189283624875180872,-2158435871750802565,4119,4119
-9189283624875180872,-1521781524640025379,1020,1020
-9189283624875180872,3039183585666478258,856,856
-9189283624875180872,5558406874053753951,1130,1130
-9189283624875180872,6774940305471585130,850,850
-9096232754884560930,-8638814388602130013,1005,1005
-9096232754884560930,-7784712059813151204,11346,11346
-9096232754884560930,-7675450448203336984,1649,1649
-9096232754884560930,-7426124097735608676,1097,1097
-9096232754884560930,-6806691435797463535,6584,6584
-9096232754884560930,-5904698658142210447,1400,1400
-9096232754884560930,-5846950087260686514,915,915
-9096232754884560930,-4999257352771650151,1948,1948
-9096232754884560930,-4666453782075787270,3416,3416
-9096232754884560930,-4129215337742647371,1675,1675
-9096232754884560930,-3358320156885107738,922,922
-9096232754884560930,-3268067683072787167,1754,1754
-9096232754884560930,-2158435871750802565,2247,2247
-9096232754884560930,-1423000256242238038,1057,1057
-9096232754884560930,603774118492778883,2540,2540
-9096232754884560930,1960646417337105237,3388,3388
-9096232754884560930,2128594542511665643,732,732
-9096232754884560930,2421156375800528076,801,801
-9096232754884560930,2589265509983531627,5052,5052
-9096232754884560930,2754757901767751842,546,546
-9096232754884560930,4628177386949784567,676,676
-9096232754884560930,5647053732965528546,1560,1560
-9096232754884560930,7341486337184709423,1343,1343
-9096232754884560930,7519427517373691798,4249,4249
-9096232754884560930,7847537258258185880,1294,1294
-8984704452568796311,2695305337569098618,612,612
-8891087951811101969,-7784712059813151204,821,821
-8881380130726595018,-7784712059813151204,544,544
-8745505558082406655,-273033171021384035,1851,1851
-8745505558082406655,2695305337569098618,3560,3560
-8638814388602130013,-7784712059813151204,1406,1406
-8638814388602130013,-2159857214311285554,516,516
-8481753544240448093,2589265509983531627,689,689
-8476437303145384835,-7784712059813151204,1379,1379
-8476437303145384835,-2159857214311285554,1056,1056
-8476437303145384835,2589265509983531627,655,655
-8476437303145384835,2695305337569098618,1284,1284
-8445470335412454848,2695305337569098618,532,532
-7784712059813151204,-7702246673281502833,1330,1330
