Source,Target,weight,label
-7784712059813151204,-3304550021239131016,4039,4039
-7784712059813151204,-2406154927270380003,5685,5685
-7784712059813151204,-1423000256242238038,1571,1571
-7784712059813151204,603774118492778883,3234,3234
-7784712059813151204,1108832248229541119,1879,1879
-7784712059813151204,1960646417337105237,3572,3572
-7784712059813151204,7341486337184709423,2086,2086
-7702246673281502833,-3304550021239131016,3194,3194
-7702246673281502833,7484248958687458596,3221,3221
-7702246673281502833,8584721346566371541,1345,1345
-7675450448203336984,-2158435871750802565,4905,4905
-7675450448203336984,2589265509983531627,1117,1117
-7675450448203336984,7057794358978688335,1235,1235
-6806691435797463535,-3522223837183396362,1853,1853
-6806691435797463535,-273033171021384035,1710,1710
-6806691435797463535,1960646417337105237,2130,2130
-6026813875032476846,-5904698658142210447,1061,1061
-6026813875032476846,-4060513158963513109,2724,2724
-6026813875032476846,-1092374183810287215,2482,2482
-6026813875032476846,603774118492778883,1384,1384
-5904698658142210447,-2159857214311285554,1251,1251
-5835361465413913482,-4999257352771650151,1356,1356
-5440734165330348305,-2179786877876424548,1016,1016
-5414993972319602247,-3304550021239131016,1419,1419
-5264754114606649098,-2159857214311285554,1404,1404
-4999257352771650151,-3304550021239131016,1054,1054
-4999257352771650151,-273033171021384035,1261,1261
-4999257352771650151,2695305337569098618,1973,1973
-4876003296321717233,-4060513158963513109,1479,1479
-4876003296321717233,-2406154927270380003,1925,1925
-4876003296321717233,-273033171021384035,1468,1468
-4666453782075787270,-2179786877876424548,1458,1458
-4666453782075787270,2695305337569098618,2635,2635
-4666453782075787270,7341486337184709423,1069,1069
-4288244399130394731,-1788134360438261396,1038,1038
-4060513158963513109,-3304550021239131016,7404,7404
-4060513158963513109,-2479076574622892161,1039,1039
-4060513158963513109,-273033171021384035,11992,11992
-4060513158963513109,871557107850427658,1272,1272
-4060513158963513109,1108832248229541119,2210,2210
-4060513158963513109,2768059539183056150,2924,2924
-4060513158963513109,5074974895441262076,1959,1959
-4060513158963513109,7341486337184709423,5164,5164
-4060513158963513109,7484248958687458596,3050,3050
-4050477985649184306,-3296130994422989526,1147,1147
-4050477985649184306,2695305337569098618,1352,1352
-4050477985649184306,5269705119417905242,2190,2190
-4050477985649184306,8245816881551523383,4875,4875
-3869629224220610070,-3304550021239131016,3601,3601
-3869629224220610070,-2406154927270380003,3058,3058
-3869629224220610070,2695305337569098618,2774,2774
-3869629224220610070,2811838510934669772,1377,1377
-3810326145888079572,-1092374183810287215,1708,1708
-3810326145888079572,1960646417337105237,1349,1349
-3810326145888079572,2695305337569098618,1415,1415
-3810326145888079572,3039183585666478258,3390,3390
-3304550021239131016,-3268067683072787167,1320,1320
-3304550021239131016,-1092374183810287215,1760,1760
-3304550021239131016,603774118492778883,1187,1187
-3304550021239131016,2811838510934669772,4795,4795
-3304550021239131016,7341486337184709423,5313,5313
-3268067683072787167,-2179786877876424548,1215,1215
